DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Arrest,LarcenyCode,ObjectID
2019/01/16 00:00:00+00,1405,1405,1000 S  MCBRIDE ST     ,LARCENY,,All Other,206
2019/01/16 00:00:00+00,2000,0700,1200 SOUTH AV     ,BURGLARY,,From Building,207
2019/01/16 00:00:00+00,1546,1546,1900 COURT ST     ,AGGRAVATED ASSAULT,Yes,N/A,208
2019/01/16 00:00:00+00,1720,1721,2600 ERIE BLVD E ,MV THEFT,,Motor Vehicle,209
2019/01/16 00:00:00+00,0800,0800,300 ERIE ST     ,LARCENY,,All Other,210
2019/01/16 00:00:00+00,2030,2030,300 N  MIDLER AV     ,ROBBERY,,All Other,211
2019/01/16 00:00:00+00,1109,1109,3400 BURNET AV     ,MV THEFT,Yes,Motor Vehicle,212
2019/01/16 00:00:00+00,1405,1406,4100 E  GENESEE ST     ,LARCENY,,From Mailbox,213
2019/01/16 00:00:00+00,2033,2033,500 S  STATE ST     ,MV THEFT,Yes,Motor Vehicle,214
2019/01/17 00:00:00+00,0450,0500,100 BALLANTYNE RD     ,AGGRAVATED ASSAULT,,N/A,215
2019/01/17 00:00:00+00,1200,1300,100 BALLANTYNE RD     ,LARCENY,,All Other,216
2019/01/17 00:00:00+00,0000,0000,1200 MILTON AV     ,BURGLARY,,From Building,217
2019/01/17 00:00:00+00,0900,1400,200 JOHN ST     ,LARCENY,,All Other,218
2019/01/17 00:00:00+00,1830,2120,200 MCKINLEY AV     ,MV THEFT,,Motor Vehicle,219
2019/01/17 00:00:00+00,1924,1924,200 TENNYSON AV     ,LARCENY,,All Other,220
2019/01/17 00:00:00+00,2000,0730,2000 GRANT BLVD   ,MV THEFT,,Motor Vehicle,221
2019/01/17 00:00:00+00,1200,1537,2600 S  SALINA ST     ,LARCENY,,All Other,222
2019/01/17 00:00:00+00,0730,1200,800 MILTON AV     ,BURGLARY,,N/A,223
2019/01/18 00:00:00+00,2000,2000,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,224
2019/01/18 00:00:00+00,0907,0907,100 AUSTIN AV     ,AGGRAVATED ASSAULT,Yes,N/A,225
2019/01/18 00:00:00+00,0108,0108,100 PETERS ST     ,BURGLARY,Yes,N/A,226
2019/01/18 00:00:00+00,2200,0500,100 ROBERTS AVE    ,LARCENY,,From Motor Vehicle,227
2019/01/18 00:00:00+00,1200,0900,1700 COURT ST     ,LARCENY,,All Other,228
